The Shape of Water	2017	4	13	yes
Darkest Hour	2017	2	6	no
Three Billboards Outside Ebbing, Missouri	2017	2	7	no
I, Tonya	2017	1	3	no
Get Out	2017	1	4	no
Call Me by Your Name	2017	1	4	no
Coco	2017	2	2	no
A Fantastic Woman	2017	1	1	no
Icarus	2017	1	1	no
Heaven Is a Traffic Jam on the 405	2017	1	1	no
The Silent Child	2017	1	1	no
Dear Basketball	2017	1	1	no
Dunkirk	2017	3	8	no
Blade Runner 2049	2017	2	5	no
Phantom Thread	2017	1	6	no
Flesh and Sand (Carne y arena)	2017	0 (1)	0	no
Moonlight	2016	3	8	yes
La La Land	2016	6	14	no
Hacksaw Ridge	2016	2	6	no
Manchester by the Sea	2016	2	6	no
Arrival	2016	1	8	no
Fences	2016	1	4	no
Fantastic Beasts and Where to Find Them	2016	1	2	no
The Jungle Book	2016	1	1	no
O.J.: Made in America	2016	1	1	no
Piper	2016	1	1	no
The Salesman	2016	1	1	no
Sing	2016	1	1	no
Suicide Squad	2016	1	1	no
The White Helmets	2016	1	1	no
Zootopia	2016	1	1	no
Spotlight	2015	2	6	yes
Mad Max: Fury Road	2015	6	10	no
The Revenant	2015	3	12	no
Bridge of Spies	2015	1	6	no
The Big Short	2015	1	5	no
Room	2015	1	4	no
The Hateful Eight	2015	1	3	no
Ex Machina	2015	1	2	no
Inside Out	2015	1	2	no
Amy	2015	1	1	no
Bear Story	2015	1	1	no
A Girl in the River: The Price of Forgiveness	2015	1	1	no
Son of Saul	2015	1	1	no
Spectre	2015	1	1	no
Stutterer	2015	1	1	no
Birdman	2014	4	9	yes
The Grand Budapest Hotel	2014	4	9	no
Whiplash	2014	3	5	no
The Imitation Game	2014	1	8	no
American Sniper	2014	1	6	no
Boyhood	2014	1	6	no
Interstellar	2014	1	5	no
The Theory of Everything	2014	1	5	no
Ida	2014	1	2	no
Selma	2014	1	2	no
Citizenfour	2014	1	1	no
Big Hero 6	2014	1	1	no
Crisis Hotline: Veterans Press 1	2014	1	1	no
The Phone Call	2014	1	1	no
Still Alice	2014	1	1	no
Feast	2014	1	1	no
12 Years a Slave	2013	3	9	yes
Gravity	2013	7	10	no
Dallas Buyers Club	2013	3	6	no
Frozen	2013	2	2	no
The Great Gatsby	2013	2	2	no
Her	2013	1	5	no
Blue Jasmine	2013	1	3	no
Mr Hublot	2013	1	1	no
The Lady in Number 6	2013	1	1	no
Helium	2013	1	1	no
The Great Beauty	2013	1	1	no
20 Feet from Stardom	2013	1	1	no
Argo	2012	3	7	yes
Life of Pi	2012	4	11	no
Les Misérables	2012	3	8	no
Lincoln	2012	2	12	no
Django Unchained	2012	2	5	no
Skyfall	2012	2	5	no
Silver Linings Playbook	2012	1	8	no
Zero Dark Thirty	2012	1	5	no
Amour	2012	1	5	no
Anna Karenina	2012	1	4	no
Paperman	2012	1	1	no
Brave	2012	1	1	no
Searching for Sugar Man	2012	1	1	no
Inocente	2012	1	1	no
Curfew	2012	1	1	no
The Artist	2011	5	10	yes
Hugo	2011	5	11	no
The Iron Lady	2011	2	2	no
The Descendants	2011	1	5	no
The Girl with the Dragon Tattoo	2011	1	5	no
Midnight in Paris	2011	1	4	no
The Help	2011	1	4	no
A Separation	2011	1	2	no
The Fantastic Flying Books of Mr. Morris Lessmore	2011	1	1	no
The Shore	2011	1	1	no
Undefeated	2011	1	1	no
The Muppets	2011	1	1	no
Saving Face	2011	1	1	no
Beginners	2011	1	1	no
Rango	2011	1	1	no
The King's Speech	2010	4	12	yes
Inception	2010	4	8	no
The Social Network	2010	3	8	no
The Fighter	2010	2	7	no
Toy Story 3	2010	2	5	no
Alice in Wonderland	2010	2	3	no
Black Swan	2010	1	5	no
In a Better World	2010	1	1	no
The Lost Thing	2010	1	1	no
God of Love	2010	1	1	no
The Wolfman	2010	1	1	no
Strangers No More	2010	1	1	no
Inside Job	2010	1	1	no
The Hurt Locker	2009	6	9	yes
